,source,target,id,value,amount,count,logamount
2286,4e862da9-9e23-40e9-a785-79d61363d8a0,eb227ad9-c716-4c95-84b3-678d2263c231,2286,1.0,11285.0,2,9.331318298529085
2287,19948c24-dc61-4e70-99fc-c744fbddf6cc,8237ed4c-91d5-4524-90d8-a222b7f711d5,2287,1.0,12961.0,1,9.469777278987662
2288,19948c24-dc61-4e70-99fc-c744fbddf6cc,d1e09e0a-48ca-4b53-be40-f383480a8d41,2288,1.0,7584.0,1,8.933927891782632
2289,d5c99b83-a33b-4db7-b6a8-5f0c428fd9a7,1b875612-6b25-47fb-ac03-f83b253c0fca,2289,1.0,10397.0,3,9.24936875894366
2290,d5c99b83-a33b-4db7-b6a8-5f0c428fd9a7,54325637-f7ff-4351-8407-e9ec8310ea2e,2290,1.0,3990.0,1,8.291797105048733
2291,d5c99b83-a33b-4db7-b6a8-5f0c428fd9a7,6010e901-b859-4804-9acf-03dc0556a9e9,2291,1.0,6544.0,2,8.786456678344
2292,d5c99b83-a33b-4db7-b6a8-5f0c428fd9a7,f9b0b329-df02-49eb-97e0-cad86f864de3,2292,1.0,4060.0,1,8.309184527686298
2293,d484f13b-55e9-4098-977c-0d079971568d,3af36b7d-79cb-4257-b8ce-7aefe267b4a7,2293,1.0,16000.0,4,9.680406499268875
2294,cb5f69bd-f462-4aa3-80b2-8bc45d131fb8,8a72fab4-5139-4a86-8cae-83947834b740,2294,1.0,1000.0,1,6.90875477931522
2295,e1139f47-81d1-47e3-b999-4bd9db5d4c55,8a72fab4-5139-4a86-8cae-83947834b740,2295,1.0,100000.0,2,11.51293546492023
2296,303f22c6-8c02-4295-9470-79138a552cb6,e85d51b8-9da5-40f1-9923-78e86b30cba7,2296,1.0,100.0,1,4.61512051684126
2297,a0319932-8472-43ce-a33d-7439848d3a5d,35a904de-1991-48bf-9657-6d4ace99b303,2297,1.0,3000.0,3,8.006700845440367
2298,a0319932-8472-43ce-a33d-7439848d3a5d,8406c406-d3dc-4a9f-80fb-5d4fb8142bb6,2298,1.0,8500.0,3,9.04793908261736
2299,a0319932-8472-43ce-a33d-7439848d3a5d,d59317f0-2045-47bb-98c5-3df7bb659211,2299,1.0,1000.0,1,6.90875477931522
2300,a0319932-8472-43ce-a33d-7439848d3a5d,ff020317-0ece-48c9-bb18-74451bb227cb,2300,1.0,14020.0,5,9.54831148472113
2301,ce510a9a-2510-4621-9d59-3444d7123614,2e50c94e-d49c-4c77-b763-719a055cdc47,2301,1.0,5376.0,1,8.589885876809678
2302,ce510a9a-2510-4621-9d59-3444d7123614,86a36c82-0ccc-490c-a015-e8d7612c222b,2302,1.0,20000.0,2,9.90353755128617
2303,5012c314-3e12-4e1c-9218-3715051b93ef,e85d51b8-9da5-40f1-9923-78e86b30cba7,2303,1.0,250.0,1,5.5254529391317835
2304,f9f573af-aaae-4c2b-a5d0-059ce5b3c17d,74b324a1-2004-4bef-a7ee-9e15918a1695,2304,1.0,100.0,1,4.61512051684126
2305,f9f573af-aaae-4c2b-a5d0-059ce5b3c17d,9efe938f-284b-453c-85e1-3ca092ecd567,2305,1.0,1000.0,1,6.90875477931522
2306,bd1ba9a8-ba6b-4474-b9af-8f2fea6d235b,5b9a9f6e-4a13-47a3-9989-cb8eac504b0a,2306,1.0,10000.0,1,9.210440366976517
2307,bd1ba9a8-ba6b-4474-b9af-8f2fea6d235b,99d60057-909f-48b6-a2bf-55c5e98cda39,2307,1.0,13097.0,1,9.480214825777999
2308,fb30835e-1152-4fe5-9e0b-597f1fff9a48,ff020317-0ece-48c9-bb18-74451bb227cb,2308,1.0,1136.0,1,7.036148493750536
2309,c0eba41d-4a08-4e20-91cc-5a3b2b25d6c4,619698de-1f86-4fa1-84b4-b6ce16d17c94,2309,1.0,50.0,1,3.9318256327243257
2310,e9e82a73-51a2-48c5-b384-0eacf5482012,cde84e0e-a5f8-487b-8da9-0d1bee647a75,2310,1.0,75.0,2,4.330733340286331
2311,e9e82a73-51a2-48c5-b384-0eacf5482012,ceb9547f-82c0-4951-b570-5dbcb963d6b6,2311,1.0,275.0,3,5.62040086571715
2312,4b2924ec-4f8f-4c7a-80ba-2edb54d6767d,ff020317-0ece-48c9-bb18-74451bb227cb,2312,1.0,100.0,1,4.61512051684126
2313,d62247cf-59d6-4a1e-ade6-83c4e3f388c7,14f1412e-edfe-4f69-a66d-aac39e83ef03,2313,1.0,3000.0,1,8.006700845440367
2314,f5d89396-e472-4dda-a1c7-6dd19bd89f36,b04db571-6c48-4bdc-82a7-84c9d5b60f88,2314,1.0,6380.0,2,8.761080103868347
2315,34b4f4db-ff6c-4a5b-88cb-9287aba2c827,54218e9a-080e-46f6-8ca2-6e0b297f1ffb,2315,1.0,2194170.0,3,14.601314856616078
2316,6e67a915-5dc3-4141-85ae-b6aa91b960e3,98b944ba-d6be-4a15-adf0-a281a3be3247,2316,1.0,5000.0,1,8.517393171418904
2317,6e67a915-5dc3-4141-85ae-b6aa91b960e3,ad55c1c9-6c02-4f8c-84f3-b11e065e8ed4,2317,1.0,20000.0,4,9.90353755128617
2318,6793462b-a929-460c-9b8b-105603c33c2d,fadc0256-2f6a-4183-8ce3-500be20d1e88,2318,1.0,6000.0,2,8.699681400989514
2319,4d4030c4-e4fa-4dca-a847-7ef12ba00062,ff020317-0ece-48c9-bb18-74451bb227cb,2319,1.0,1000.0,1,6.90875477931522
2320,5d903fbd-5655-40a9-ac52-7daeb184fe25,8406c406-d3dc-4a9f-80fb-5d4fb8142bb6,2320,1.0,9000.0,4,9.105090961257085
2321,5b14c0ae-3b45-4bd3-b76b-c788dce3500f,520120a7-d40d-4b1c-8887-53613eeeb51a,2321,1.0,0.0,6,0.0
2322,a4281bad-210e-4c91-9bb2-c50c454e3d87,13006599-8268-46bd-a05a-aad7947f5e36,2322,1.0,1000.0,1,6.90875477931522
2323,a4281bad-210e-4c91-9bb2-c50c454e3d87,bfcf9526-9933-4613-9c85-c470d9d95deb,2323,1.0,6500.0,2,8.77971129020447
2324,da4527d9-9e26-49b0-af16-66be786e8b8a,caabfcd5-b8a9-4586-88f0-4e59780156ad,2324,1.0,125.0,2,4.836281906951478
2325,7805ca4f-3ef7-4c37-ad75-bbc6763f8e69,835831f1-b2f3-45b8-8e29-cd33e91ce5ad,2325,1.0,25000.0,1,10.12667110305036
2326,92d343d8-19b9-45fe-ba39-25915a70b9f0,080f3fba-b9d1-4ce6-8b1c-7d0959169634,2326,1.0,107500.0,1,11.58525542883217
2327,92d343d8-19b9-45fe-ba39-25915a70b9f0,3ea3deef-a33c-4254-9190-059091c57088,2327,1.0,94000.0,5,11.451060699493427
2328,92d343d8-19b9-45fe-ba39-25915a70b9f0,3eef4b18-f7ae-48fa-8035-31e1bc67b4a0,2328,1.0,160000.0,1,11.982935344196433
2329,92d343d8-19b9-45fe-ba39-25915a70b9f0,8aa6a8d0-5347-4c18-aa6a-b3266c766d44,2329,1.0,37250.0,3,10.525434069084952
