,name,category,state_abbrv,county_uid,city_uid,in_flow,out_flow,flow,pretty_category,lcc,color,x,y
b4d2f9f7-a421-4d81-8fa7-295c4640236c,THE GOLDMAN SACHS CHARITABLE GIFT FUND,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,38000.0,38000.0,Private-ish,1,#668DE5,93.9707446354862,128.25736316933978
f93af8c6-7d81-4e51-8725-0d20852ee307,THE HAROLD  RUTH ALLEN FOUNDATION,Private-ish,NY,C-59-36,GREAT NECK-59-36,0.0,3495.0,3495.0,Private-ish,1,#668DE5,101.892023850951,84.26717900542837
9b9a3dae-f003-40ff-bee8-1bc4f3ea59b2,THE MELVIN  DORIS SIROW FOUNDATION INC,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,20.0,20.0,Private-ish,1,#668DE5,65.0041214302531,86.13947791613718
5f4ae974-3763-4ae4-b346-9f28dea17c8e,L  J GOLDRICH FOUNDATION FORMERLY LAWRENCE J GOLDRICH FOUNDATION,Private-ish,VA,C-810-51,VIRGINIA BEACH-810-51,0.0,120.0,120.0,Private-ish,1,#668DE5,42.330364331826914,68.67841247895296
405e0d92-a84a-46ae-9ef2-33520b6a8fbe,THE HAMMERMAN AND FISCH FOUNDATION,Private-ish,NY,C-59-36,ATLANTIC BEACH-59-36,0.0,20000.0,20000.0,Private-ish,1,#668DE5,95.61095567096744,150.97851099098864
98764b47-2bab-45b8-a63d-959b880a5eab,SKOLNICK FAMILY CHARITABLE TRUST,Private-ish,DE,C-3-10,WILMINGTON-3-10,0.0,60000.0,60000.0,Private-ish,1,#668DE5,96.85052435652833,152.4874465849025
5600c1a5-bc8f-48a1-8606-7488c06b1797,THE GOODMAN CHARITABLE TRUST,Private-ish,NY,C-103-36,HUNTINGTON-103-36,0.0,700.0,700.0,Private-ish,1,#668DE5,62.129349135607825,136.36827232306942
3f48faea-6f14-4e03-888b-1328e3230bba,THE ADIKES FAMILY FOUNDATION CO BROSNAN  HEGLER LLP,Private-ish,NY,C-59-36,GARDEN CITY-59-36,0.0,15500.0,15500.0,Private-ish,1,#668DE5,80.36032827596667,135.32696011337183
fd9ffa08-b13c-40b2-b0c9-b51841c0edb6,THE ROY AND DARLENE GEIGEL FOUNDATION A CHARITABLE TRUST,Private-ish,FL,C-21-12,NAPLES-21-12,0.0,1000.0,1000.0,Private-ish,1,#668DE5,55.92040115037175,127.41215982945258
ced8f901-cea5-4fc5-adf0-c4f4f829cef9,AXA FOUNDATION INC,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,250.0,250.0,Private-ish,1,#668DE5,156.58011572598068,150.73872600350467
e1683ddd-6866-48a6-8c62-813ae4630f3d,AMERICAN SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,Private-ish,NY,C-47-36,NEW YORK-0-36,0.0,2833984.0,2833984.0,Private-ish,1,#668DE5,120.73202946135454,66.98975784974425
